file_old,ra_old,ra_new,ra_sim,dec_old,dec_new,dec_sim,obj_old,obj_new,obj_sim,diff_ra,diff_dec,diff_ra_newsim,diff_dec_newsim,diff_ra_newold,diff_dec_newold
OB_1775160_2018-02-06T01-42.fits,80.38268291666665,80.39058333333332,80.39058333333332,-0.4164927777777778,-0.4118611111111111,-0.4118611111111111,HD35007B,[ITH2008] HD  35007B-cc1,[ITH2008] HD  35007B-cc1,0.0,0.0,0.0,0.0,28.44150000001946,16.67400000000012
OB_1775160_2018-02-06T02-16.fits,80.38268291666665,80.39058333333332,80.39058333333332,-0.4164927777777778,-0.4118611111111111,-0.4118611111111111,HD35007B,[ITH2008] HD  35007B-cc1,[ITH2008] HD  35007B-cc1,0.0,0.0,0.0,0.0,28.44150000001946,16.67400000000012
OB_1775173_2018-03-14T08-59.fits,232.7839633333333,232.8217025985766,232.82170259857654,-33.8330125,-33.81984187581799,-33.819841875817986,HIP76001,HD 138138,HD 138138,2.0463630789890885e-10,-2.5579538487363607e-11,2.0463630789890885e-10,-2.5579538487363607e-11,135.86135487583988,47.41424705523514
OB_1775173_2018-03-14T09-19.fits,232.7839633333333,232.8217025985766,232.82170259857654,-33.8330125,-33.81984187581799,-33.819841875817986,HIP76001,HD 138138,HD 138138,2.0463630789890885e-10,-2.5579538487363607e-11,2.0463630789890885e-10,-2.5579538487363607e-11,135.86135487583988,47.41424705523514
OB_1796104_2017-10-06T06-12.fits,67.51663833333333,67.51661793415,67.51661793415,18.23040805555555,18.22966255417,18.22966255417,UX Tau A,V* UX Tau C,V* UX Tau C,0.0,0.0,0.0,0.0,-0.0734370599786871,-2.68380498797427
OB_1848193_2017-10-28T05-29.fits,68.17838249999998,68.178375,68.17925716666667,25.87533277777778,25.87536111111111,25.87525105555556,UZ Tau,V* UZ Tau,V* UZ Tau,-3.175800000013851,0.39619999998876665,-3.175800000013851,0.39619999998876665,-0.026999999931831553,0.10199999999827014
OB_1848193_2017-10-28T05-41.fits,68.17838249999998,68.178375,68.17925716666667,25.87533277777778,25.87536111111111,25.87525105555556,UZ Tau,V* UZ Tau,V* UZ Tau,-3.175800000013851,0.39619999998876665,-3.175800000013851,0.39619999998876665,-0.026999999931831553,0.10199999999827014
OB_1848199_2017-10-28T06-52.fits,68.17838249999998,68.178375,68.17925716666667,25.87533277777778,25.87536111111111,25.87525105555556,UZ Tau,V* UZ Tau,V* UZ Tau,-3.175800000013851,0.39619999998876665,-3.175800000013851,0.39619999998876665,-0.026999999931831553,0.10199999999827014
OB_1931375_2018-12-30T06-31.fits,184.9974825,184.99737560558,184.99737560557998,-50.311285,-50.31043631039001,-50.31043631039001,2MASSJ12195938-5018404,UCAC4 199-067420,RX J1220.0-5018B,1.0231815394945443e-10,0.0,1.0231815394945443e-10,0.0,-0.3848199119488527,3.0552825959574648
OB_1931375_2018-12-30T06-37.fits,184.9974825,184.99737560558,184.99737560557998,-50.311285,-50.31043631039001,-50.31043631039001,2MASSJ12195938-5018404,UCAC4 199-067420,RX J1220.0-5018B,1.0231815394945443e-10,0.0,1.0231815394945443e-10,0.0,-0.3848199119488527,3.0552825959574648
OB_1931551_2018-04-30T04-01.fits,203.4784154166666,203.4785617131845,203.47856171318458,-65.61155694444444,-65.61119320569833,-65.61119320569833,2MASSJ13335481-6536414,Gaia DR3 5863747462890662144,RX J1333.9-6536B,-3.069544618483633e-10,0.0,-3.069544618483633e-10,0.0,0.5266674644303748,1.3094594860206143
OB_1955343_2018-08-14T05-23.fits,283.80117375,283.8010881118,283.8010881118,-3.561956666666667,-3.561986903190001,-3.5619869031900007,A185512,HD 175375,HD 175375,0.0,-1.5987211554602254e-12,0.0,-1.5987211554602254e-12,-0.3082975198140048,-0.10885148400241462
