FILE                              	RA               	DEC               	OBJECT                     	OBSTECH                     	
OB_1176159_2015-07-21T05-25.fits  	254.29656171654  	-33.25949228849   	*  27 Sco                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176159_2015-07-23T01-42.fits  	254.29656171654  	-33.25949228849   	*  27 Sco                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176159_2015-07-23T01-46.fits  	254.29656171654  	-33.25949228849   	*  27 Sco                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176165_2015-07-26T03-29.fits  	258.6152295071599	-39.76664937653   	HD 155603                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176165_2015-07-26T03-42.fits  	258.6152295071599	-39.76664937653   	HD 155603                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176168_2015-07-26T03-58.fits  	263.81496867058  	-36.14358544799001	[RHI84]  8-382             	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176168_2015-07-26T04-02.fits  	263.81496867058  	-36.14358544799001	[RHI84]  8-382             	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176174_2015-07-24T04-23.fits  	259.9555378587   	-39.17720244621001	WRAY 15-1676               	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176174_2015-07-24T04-38.fits  	259.9555378587   	-39.17720244621001	WRAY 15-1676               	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176177_2015-07-24T04-56.fits  	260.55415927543  	-41.12123686781   	HD 156936                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176177_2015-07-24T05-01.fits  	260.55415927543  	-41.12123686781   	HD 156936                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1179670_2015-07-11T00-18.fits  	228.36651198276  	-33.14727885377   	HD 134888                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1179676_2015-06-20T02-05.fits  	231.2767919452131	-38.1692387997009 	HD 137015                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1179682_2015-07-25T00-00.fits  	237.10325214816  	-42.61805825196   	HD 141011                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1179687_2015-07-20T01-15.fits  	251.9472379228   	-19.87554226187   	HD 151376                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1179690_2015-04-13T04-06.fits  	189.94248438567  	-49.19876413854   	HD 110058                  	IMAGE,DUAL,CORONOGRAPHY     	
OB_1179693_2015-04-11T03-55.fits  	184.2762906643   	-65.69295965132   	HD 106797                  	IMAGE,DUAL,CORONOGRAPHY     	
